facility_id,name,source_type,address,lat,lng
mmg_2899,옥천군 보건소,myeongmunga_facility,"충청북도옥천군옥천읍삼양로8길 10(옥천읍삼양리, 옥천군보건소)",36.3042291,127.5701585
mmg_2902,옥천군 여성회관,myeongmunga_facility,"충청북도옥천군옥천읍동부로 15- 1(옥천읍문정리, 옥천군 여성회관)",36.3071523,127.5747833
mmg_2906,옥천군 체육시설,myeongmunga_facility,"충청북도옥천군옥천읍동부로 39- 1(옥천읍문정리, 옥천국민체육센터)",36.3062664,127.5778416
mmg_2905,옥천군농업기술센터,myeongmunga_facility,"충청북도옥천군옥천읍옥천동이로 234(옥천읍매화리, 옥천군 농업기술센터)",36.2996885,127.595831
mmg_1450,옥천성모병원,myeongmunga_facility,충청북도옥천군옥천읍성왕로 1195(옥천읍문정리),36.313708,127.571949
mmg_2903,옥천전통문화체험관,myeongmunga_facility,"충청북도옥천군옥천읍향수길 100(옥천읍하계리, 옥천전통문화체험관)",36.316533,127.58559
mmg_4086,육대산,myeongmunga_facility,"충청북도청주시 청원구율량로202번길 22(율량동, 1층 육대산)",36.665445,127.497701
mmg_2909,음성군 보건소,myeongmunga_facility,"충청북도음성군음성읍중앙로 49(음성읍읍내리, 음성군 보건소)",36.928817,127.688813
mmg_2910,음성군 체육시설,myeongmunga_facility,충청북도음성군음성읍중앙로 173(음성읍읍내리),36.9400897,127.6904397
mmg_2210,인창한의원,myeongmunga_facility,"충청북도청주시 서원구호국로 89(사직동, 인창한의원)",36.634213,127.476114
mmg_2546,일등플란트치과,myeongmunga_facility,충청북도청주시 상당구상당로 102- 0(북문로2가),36.637458,127.490486
mmg_2904,장령산자연휴양림,myeongmunga_facility,"충청북도옥천군군서면장령산로 519(군서면금산리, 옥천군 장령산 자연휴양림)",36.246417,127.555593
mmg_2548,전하울산촌생태마을,myeongmunga_facility,충청북도청주시 상당구낭성면호정전하울길 99- 45(낭성면호정리),36.613239,127.605627
mmg_3210,제일조은병원,myeongmunga_facility,충청북도음성군금왕읍음성로1230번길 12(금왕읍금석리),36.99764,127.598452
mmg_2908,제천 의림지 역사박물관,myeongmunga_facility,"충청북도제천시의림대로47길 7(모산동, 의림지 역사박물관)",37.176189,128.209523
mmg_2767,제천서울병원,myeongmunga_facility,충청북도제천시숭문로 57(서부동),37.138822,128.206203
mmg_2468,조령산 자연휴양림,myeongmunga_facility,충청북도괴산군연풍면새재로 1795(연풍면원풍리),36.8120957,128.0470655
mmg_2237,증평군 공영주차장,myeongmunga_facility,"충청북도증평군증평읍광장로 88(증평읍창동리, 증평군청)",36.784931,127.58107
mmg_2235,증평군 보건소,myeongmunga_facility,충청북도증평군증평읍보건복지로 64- 1(증평읍내성리),36.774439,127.586753
mmg_2236,증평군 장사시설,myeongmunga_facility,"충청북도음성군금왕읍덕금로 936- 61(금왕읍용계리, 증평 추모의 집(공설봉안당))",36.966281,127.589823
mmg_3705,지오어플라이언스,myeongmunga_facility,충청북도진천군이월면밤디길 65- 51(이월면신월리),36.921686,127.453314
mmg_2198,진천 국민체육센터,myeongmunga_facility,충청북도진천군진천읍문화로 69- 11(진천읍교성리),36.848047,127.441938
mmg_2194,진천 종박물관,myeongmunga_facility,충청북도진천군진천읍백곡로 1504- 12(진천읍장관리),36.869836,127.413804
mmg_2199,진천군 보건소,myeongmunga_facility,충청북도진천군진천읍중앙북1길 11- 8(진천읍벽암리),36.8605567,127.4396392
mmg_2197,진천군 장사시설,myeongmunga_facility,충청북도진천군진천읍백곡로 1465- 34(진천읍장관리),36.873247,127.41539
mmg_2195,진천군립 생거판화미술관,myeongmunga_facility,충청북도진천군진천읍백곡로 1504- 10(진천읍장관리),36.869836,127.413804
mmg_2563,참사랑병원,myeongmunga_facility,충청북도청주시 서원구청남로 1910(미평동),36.603626,127.480298
mmg_2042,창명제어기술,myeongmunga_facility,충청북도청주시 청원구북이면대율내추길 325(북이면내추리),36.756403,127.548001
mmg_1576,청남대,myeongmunga_facility,충청북도청주시 상당구문의면청남대길 646(문의면신대리),36.459924,127.488401
mmg_2476,청주대학교,myeongmunga_facility,충청북도청주시 청원구대성로 298(내덕동),36.652478,127.495308
mmg_1582,청주동물원,myeongmunga_facility,충청북도청주시 상당구명암로 224- 0(명암동),36.651988,127.523121
mmg_2700,청주마이크로병원,myeongmunga_facility,충청북도청주시 흥덕구사직대로 26(복대동),36.6340286,127.4502261
mmg_4008,청주수영장,myeongmunga_facility,충청북도청주시 서원구흥덕로 61(사직동),36.640973,127.470954
mmg_1584,청주시 공영주차장,myeongmunga_facility,"충청북도청주시 서원구흥덕로 61(사직동, 청주시시설관리공단)",36.641172,127.470378
mmg_2111,청주시립미술관,myeongmunga_facility,충청북도청주시 서원구충렬로18번길 50(사직동),36.634648,127.478283
mmg_2055,청주시립요양병원,myeongmunga_facility,충청북도청주시 서원구궁뜰로62번길 29(장성동),36.596116,127.481864
mmg_3195,청주육거리자동차밧데리할인매장,myeongmunga_facility,충청북도청주시 상당구대성로 61(서운동),36.6309424,127.4927555
mmg_3114,청주의료원,myeongmunga_facility,충청북도청주시 서원구흥덕로 48- 0(사직동),36.640336,127.473179
mmg_2545,청주자생한방병원,myeongmunga_facility,"충청북도청주시 상당구상당로 66(문화동, 나보나스퀘어 4~6층)",36.634263,127.490895
mmg_4088,청주탑병원,myeongmunga_facility,"충청북도청주시 상당구교서로 1(영동, 1~5층)",36.637083,127.485927
mmg_2808,청주필한방병원,myeongmunga_facility,충청북도청주시 흥덕구강서로 1074~5층 (강서동),36.625149,127.428232
mmg_2544,청주현대병원,myeongmunga_facility,충청북도청주시 흥덕구비하로 65(비하동),36.632886,127.42458
mmg_3187,충북대학교병원,myeongmunga_facility,충청북도청주시 서원구1순환로 776(개신동),36.6238683,127.4616107
mmg_3977,충북도립노인전문병원,myeongmunga_facility,충청북도청주시 서원구청남로 1910(미평동),36.60369,127.480366
mmg_3830,충북청주프로축구단,myeongmunga_facility,"충청북도청주시 흥덕구가포산로 124(휴암동, 2층(충북청주프로축구단 사무국))",36.615759,127.414119
mmg_2406,충주시 공영주차장,myeongmunga_facility,"충청북도충주시탄금대로 117(문화동, 충주시시설관리공단)",36.979206,127.995394
mmg_1593,충주의료원,myeongmunga_facility,충청북도충주시안림로 239- 50(안림동),36.979604,127.970322
mmg_3573,충주이강한방병원,myeongmunga_facility,충청북도충주시번영대로 109(연수동),36.987518,127.929777
mmg_1594,충청북도청 주차장,myeongmunga_facility,"충청북도청주시 상당구상당로 82(문화동, 충청북도청)",36.635809,127.491334
mmg_2162,태웅식품(주),myeongmunga_facility,충청북도음성군대소면대금로196번길 21(대소면대풍리),36.976915,127.465824
mmg_3035,테일러메이드골프볼코리아,myeongmunga_facility,충청북도청주시 흥덕구공단로98번길 97(송정동),36.640278,127.444745
mmg_3596,통신특판 바나나폰,myeongmunga_facility,충청북도청주시 흥덕구1순환로523번길 51(신봉동),36.6460627,127.4678388
mmg_1621,하나병원,myeongmunga_facility,충청북도청주시 흥덕구2순환로 1262(가경동),36.623566,127.430196
mmg_3303,한국건강관리협회 충북세종지부,myeongmunga_facility,충청북도청주시 흥덕구직지대로 631(봉명동),36.6434154,127.4631741
mmg_1625,한국병원,myeongmunga_facility,충청북도청주시 상당구단재로 106(영운동),36.619658,127.496322
mmg_2045,한길이에스티,myeongmunga_facility,충청북도청주시 청원구오창읍팔결로 399- 8(오창읍가곡리),36.717292,127.472674
mmg_1677,황정산휴양림,myeongmunga_facility,충청북도단양군대강면황정산로 239- 11(대강면올산리),36.841288,128.349737
mmg_1681,효성병원,myeongmunga_facility,충청북도청주시 상당구쇠내로 16(금천동),36.624447,127.495528
mmg_2562,효성병원 장례식장,myeongmunga_facility,충청북도청주시 청원구2순환로94번길 21(율량동),36.668752,127.505144
mmg_3485,1001안경원 전주오거리점,myeongmunga_facility,전북특별자치도전주시 완산구전주객사5길 73- 24(고사동),35.821402,127.1440853
mmg_3491,1001안경콘택트 전주효자점,myeongmunga_facility,전북특별자치도전주시 완산구용머리로 56(효자동1가),35.8063871,127.1164717
mmg_3242,강천힐링스파,myeongmunga_facility,,35.4039,127.0858
mmg_3201,개벽장학회,myeongmunga_facility,전북특별자치도전주시 덕진구만성중앙로 54- 494층 (만성동),35.8415,127.0776
mmg_3935,거성컴퓨터학원,myeongmunga_facility,"전북특별자치도군산시월명로 466(명산동, 반석신협 3층)",35.9835856,126.7098361
mmg_4075,고창군 람사르 운곡습지 유스호스텔,myeongmunga_facility,전북특별자치도고창군아산면운곡로 91(아산면용계리),35.4673109,126.6334572
mmg_4077,고창군 선운산유스호스텔,myeongmunga_facility,전북특별자치도고창군아산면선운사로 158- 36(아산면삼인리),35.50357,126.5832549
mmg_4076,고창군 체육시설,myeongmunga_facility,"전북특별자치도고창군고창읍중앙로 245(고창읍교촌리, 고창군청)",35.4358411,126.7021133
mmg_3684,군산의료원,myeongmunga_facility,전북특별자치도군산시의료원로 27(지곡동),35.9547096,126.7124478
